ID_PRODUCTO;CLAVE_LADA_CLIENTE;CONTACTO;CONTACTO_EFECTIVO;INTENCION_COMPRA;DURACION_LLAMADA;INICIO_LLAMADA;FIN_LLAMADA;PROPENSION_CLIENTE;GENERO_ASESOR;FECHA_NACIMIENTO_ASESOR;JORNADAS;ANTIGUEDAD_ASESOR;GENERO_CLIENTE;EDAD_CLIENTE;FECHA_ANTIGUEDAD_CLIENTE;NUMERO_PRODUCTOS;NIVEL_RENTA
TDC;744;SI;SI;NO;0:01:50;1/06/2020 10:00;1/06/2020 10:02;MUY ALTA;H;1/01/1997;24;54;F;39;1/05/2008;1;RENTA_MEDIA_ALTA
TDC;557;SI;SI;SI;0:11:05;3/04/2020 14:44;3/04/2020 14:55;MUY ALTA;M;1/01/1995;51;18;F;49;18/03/2016;2;RENTA_MEDIA_ALTA
TDC;993;SI;SI;NO;0:00:21;1/06/2020 12:08;1/06/2020 12:08;MEDIA BAJA;M;1/01/1974;44;18;F;59;6/01/2020;1;RENTA_ALTA
TDC;452;SI;SI;NO;0:00:20;3/04/2020 11:44;3/04/2020 11:45;MUY ALTA;M;1/01/1996;20;3;M;25;17/05/2018;2;RENTA_MUY_ALTA
TDC;443;SI;SI;NO;0:00:44;3/04/2020 11:54;3/04/2020 11:55;ALTA;M;1/01/1995;40;30;F;46;3/02/2017;1;RENTA_MEDIA_ALTA
TDC;951;SI;SI;NO;0:01:25;6/05/2020 16:39;6/05/2020 16:41;ALTA;-1;1/01/2020;22;0;F;58;26/01/2016;3;RENTA_MEDIA_BAJA
TDC;561;SI;SI;NO;0:01:44;7/05/2020 9:50;7/05/2020 9:52;MEDIA BAJA;M;1/01/1994;38;42;F;48;7/02/2007;2;RENTA_ALTA
TDC;614;SI;SI;NO;0:00:18;3/06/2020 14:32;3/06/2020 14:32;MEDIA ALTA;M;1/01/1998;28;42;M;47;24/08/2000;4;RENTA_MUY_ALTA
TDC;999;SI;SI;NO;0:02:15;8/05/2020 10:48;8/05/2020 10:50;MUY ALTA;M;1/01/1992;36;54;M;28;10/05/2018;2;RENTA_MEDIA_ALTA
TDC;871;SI;SI;NO;0:01:14;3/06/2020 12:28;3/06/2020 12:29;ALTA;M;1/01/2000;49;18;F;48;18/06/2013;2;RENTA_BAJA
TDC;987;SI;SI;NO;0:02:50;8/05/2020 9:40;8/05/2020 9:43;MEDIA BAJA;M;1/01/1991;34;103;M;48;27/03/2009;1;RENTA_MEDIA_ALTA
TDC;435;SI;SI;NO;0:02:04;14/05/2020 16:15;14/05/2020 16:17;ALTA;M;1/01/1999;44;18;M;34;8/05/2018;2;RENTA_BAJA
TDC;811;SI;SI;NO;0:03:53;15/05/2020 11:08;15/05/2020 11:12;MUY ALTA;M;1/01/1982;35;91;M;41;18/02/2008;5;RENTA_MUY_ALTA
TDC;555;SI;SI;NO;0:00:46;15/05/2020 9:07;15/05/2020 9:07;ALTA;M;1/01/1996;38;42;M;39;11/09/2006;4;RENTA_MUY_ALTA
TDC;449;SI;SI;NO;0:01:03;15/05/2020 10:06;15/05/2020 10:07;MEDIA BAJA;H;1/01/1997;44;54;M;36;2/07/2007;2;RENTA_MEDIA_ALTA
TDC;998;SI;SI;SI;0:16:17;15/05/2020 12:25;15/05/2020 12:41;ALTA;M;1/01/1977;32;42;M;44;10/04/2002;1;RENTA_MEDIA_ALTA
TDC;331;SI;SI;NO;0:01:00;15/05/2020 15:25;15/05/2020 15:26;MEDIA BAJA;M;1/01/1998;23;42;F;31;3/03/2009;3;RENTA_MEDIA_BAJA
